GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,1497.38,1497.38000,,,,,
ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,775.91,775.91000,,,,,
ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,530.26,530.26000,,,,,
ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3252,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,480.31,480.31000,,,,,
ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3252,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,799.31,799.31000,,,,,
ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3252,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,771.41,771.41000,,,,,
HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,1101485,1101485.00000,,,,,
HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,20396,20396.00000,,,,,
HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,84981,84981.00000,,,,,
HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,161437,161437.00000,,,,,
HRH_08,Number of radiographers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,4757,4757.00000,,,,,
HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,86051,86051.00000,,,,,
HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,1231322,1231322.00000,,,,,
HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,IND,India,,2124667,2124667.00000,,,,,
HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,915528,915528.00000,,,,,
HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,IND,India,,922177,922177.00000,,,,,Includes Doctors</br> Data Source: Medical Council of India
HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,660801,660801.00000,,,,,"Includes Doctors</br> Data Source: National Health Profile, 2005-06; Health Information of India, 2004, 2005, 2006; National Commission on Macroeconomics and Health, 2005"
HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,IND,India,,607000,607000.00000,,,,,Includes Allopathic Medical Practitioners</br> Data Source: Ministry of Health & Family Welfare 
HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,645825,645825.00000,,,,,"Includes Allopathic</br> Data Source: Central Council of Indian Medicine, Dept. of ISM&H/AYUSH, Govt. of India"
HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,655801,655801.00000,,,,,
HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,IND,India,,657230,657230.00000,,,,,
HRH_08,Number of radiographers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,15886,15886.00000,,,,,
HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,55058,55058.00000,,,,,
HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,78096,78096.00000,,,,,
HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,39105,39105.00000,,,,,
HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,IND,India,,47165,47165.00000,,,,,
HRH_16,Number of traditional medicine practitioners,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/100,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,IND,India,,771468,771468.00000,,,,,
HRH_16,Number of traditional medicine practitioners,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/100,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,753936,753936.00000,,,,,
HRH_16,Number of traditional medicine practitioners,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/100,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,136413,136413.00000,,,,,
HRH_19,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,IND,India,,741548,741548.00000,,,,,Includes Pharmacists</br> Data Source: National Health Profile (NHP) of India � 2017
HRH_19,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,IND,India,,657230,657230.00000,,,,,Includes Pharmacists</br> Data Source: Indian Nursing Council & Pharmacy Council of India
HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,IND,India,,117825,117825.00000,,,,,Includes Dental Surgeons</br> Data Source: Dental Council of India
HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,55058,55058.00000,,,,,Includes Dental surgeon</br> Data Source: Dental Council of India
HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,55344,55344.00000,,,,,Includes Registered dentists</br> Data Source: Not enough here Too many there
HRH_22,Number of community and traditional health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4548,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,717860,717860.00000,,,,,
HRH_22,Number of community and traditional health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4548,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,753936,753936.00000,,,,,
HRH_22,Number of community and traditional health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4548,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,136413,136413.00000,,,,,
HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,IND,India,,2778248,2778248.00000,,,,,"Includes Auxillary Nurse Midwives, Registered Nurse and Registered Midwives, Lady Health Visitor</br> Data Source: National Health Profile (NHP) of India � 2017"
HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,1702555,1702555.00000,,,,,"Includes Auxilliary Nurse Midwives, General Nursing and Midwive, Lady Health Visitors</br> Data Source: Indian Nursing Council & Pharmacy Council of India"
HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,1422452,1422452.00000,,,,,"Includes General Nursing and Midwife, Auxiliary/Assistant midwife(Auxiliary Nurse Midwives), Health Visitor/ Female Health Assistant</br> Data Source: Indian Nursing Council"
HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,0.573,0.57300,,,,,"Includes Allopathic</br> Data Source: Central Council of Indian Medicine, Dept. of ISM&H/AYUSH, Govt. of India"
HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,0.587,0.58700,,,,,Includes Allopathic Medical Practitioners</br> Data Source: Ministry of Health & Family Welfare 
HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,IND,India,,0.758,0.75800,,,,,Includes Doctors (registered)</br> Data Source: National Health Profile (NHP) of India � 2017
HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,1.263,1.26300,,,,,"Includes General Nursing and Midwife, Auxiliary/Assistant midwife(Auxiliary Nurse Midwives), Health Visitor/ Female Health Assistant</br> Data Source: Indian Nursing Council"
HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,1.169,1.16900,,,,,"Includes General Nursing  Midwives, Auxiliary nursing midwives, Health visitors & Health supervisors</br> Data Source: Indian Nursing Council, Pharmacy Council of India, Directorate General of Health Services(C.B.H.I.)"
HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,IND,India,,1.703,1.70300,,,,,"Includes Auxilliary Nurse Midwives, Registered Nurses & Registered Midwives, Lady Health Visitors</br> Data Source: Indian Nursing Council & Pharmacy Council of India"
HRH_28,Dentistry personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,,,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,0.086,0.08600,,,,,Includes Dental Surgeons</br> Data Source: Dental Council of India
HRH_28,Dentistry personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,0.037,0.03700,,,,,Includes Dental Surgeons</br> Data Source: Ministry of Health & Family Welfare 
HRH_28,Dentistry personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,0.022,0.02200,,,,,"Includes Dental assistant, Dental  Surgeons</br> Data Source: Census of India, 1991"
HRH_28,Dentistry personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,IND,India,,0.149,0.14900,,,,,Includes Dental surgeons  (registered)</br> Data Source: National Health Profile (NHP) of India � 2017
HRH_25,Pharmaceutical personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/320,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,,,,IND,India,,0.559,0.55900,,,,,Includes Pharmacists</br> Data Source: National Health Profile (NHP) of India � 2017
HRH_25,Pharmaceutical personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/320,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,IND,India,,0.519,0.51900,,,,,Includes Pharmacists</br> Data Source: Indian Nursing Council & Pharmacy Council of India
HRH_29,Community and traditional health workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4551,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,0.63,0.63000,,,,,
HRH_29,Community and traditional health workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4551,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,0.627,0.62700,,,,,
HRH_23,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,IND,India,,736538,736538.00000,,,,,
HRH_30,Other health workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/106,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,1.341,1.34100,,,,,
HRH_30,Other health workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/106,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,0,0.00000,,,,,
WHS4_154,Antenatal care coverage - at least four visits (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/80,,,,PUBLISHED,Published,,1995-1999,1995-1999,,SEAR,1995,1999,South-East Asia,,,,,IND,India,,29.5,29.50000,,,,,"DHS 1998-99. International Institute for Population Sciences (IIPS), ORC Macro. National Family Health Survey (NFHS-2), 1998–99: India. Mumbai, India: IIPS; 2000."
WHS4_154,Antenatal care coverage - at least four visits (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/80,,,,PUBLISHED,Published,,1999-2004,1999-2004,,SEAR,1999,2004,South-East Asia,,,,,IND,India,,37.6,37.60000,,,,,"DLHS 2002-04. International Institute for Population Sciences (IIPS) [India]; 2006.District Level Household and Facility Survey (DLHS-2), 2002-04: India. Mumbai: International Institute for Population Sciences (IIPS) [India]; 2006."
MEDS5070300,Ban on Direct to Consumer Pharmaceutical Advertising,,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS5080100,Legal provisions exist requiring authorization for conducting Clinical Trials by the MRA,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2310,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS5090300,Annual consumption of Morphine (mg/capita),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2289,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,0.5903,0.59000,,,,,
MEDS6010102,Children <5 years receive free medicines,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2293,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,Yes,0.00000,,,,,
MEDS8030400,Substitution of generic equivalents at the point of dispensing in public sector facilities is allowed,,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,No,0.00000,,,,,
MEDS8030500,Substitution of generic equivalents at the point of dispensing in private sector facilities is allowed,,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,No,0.00000,,,,,
ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,413.59,413.59000,,,,,
ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,355.05,355.05000,,,,,
ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,592.13,592.13000,,,,,
ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,666.34,666.34000,,,,,
NHABASIS,Basis for NHA estimate,,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,IND,India,,"A new basis for these estimates was provided by new NHA reports, surveys, National Accounts series, accessed information and/or country consultations.",0.00000,,,,,
HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,717860,717860.00000,,,,,
HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,713684,713684.00000,,,,,
HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,725568,725568.00000,,,,,
HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,754985,754985.00000,,,,,
HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,24195,24195.00000,,,,,
HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,3451,3451.00000,,,,,
HRH_04,Number of pharmacists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,91282,91282.00000,,,,,
HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,98892,98892.00000,,,,,
WHS4_111,Antenatal care coverage - at least one visit (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/81,,,,PUBLISHED,Published,,2007-2008,2007-2008,,SEAR,2007,2008,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,75.1,75.10000,,,,,Skilled personnel not defined.
HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,959677,959677.00000,,,,,
HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,1652161,1652161.00000,,,,,
HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,708000,708000.00000,,,,,Includes Allopathic Medical Practitioners</br> Data Source: Ministry of Health & Family Welfare 
HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,736743,736743.00000,,,,,Includes Allopathic Medical Practitioners</br> Data Source: Ministry of Health & Family Welfare 
HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,1991,1991,,SEAR,1991,1991,South-East Asia,,,,,IND,India,,1088048,1088048.00000,,,,,"Includes Physicians & Surgeons (Allopathic, Dental and Veterinary) , Physicians & Surgeons ( Allopathic), Physicians & Surgeons n.e.c.</br> Data Source: Census of India, 1991"
HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,625400,625400.00000,,,,,Includes Allopathic Medical Practitioners</br> Data Source: Ministry of Health & Family Welfare 
HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,521593,521593.00000,,,,,
HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,506924,506924.00000,,,,,
HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,120897,120897.00000,,,,,
HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,IND,India,,117825,117825.00000,,,,,
