GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,IND,2007,2007,India,,,,,731439,731439.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,,,,846472,846472.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,IND,2008,2008,India,,,,,761429,761429.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,,,,700699,700699.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,1005281,1005281.00000,,,,,
HWF_0002,Medical doctors (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5315,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,938861,938861.00000,,,,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,IND,2008,2008,India,,,,,761429,761429.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,,,,700699,700699.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,,,,927447,927447.00000,,,,,Includes professionally active
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,,,,1088048,1088048.00000,,,,,Includes Medical Doctors .
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,IND,2003,2003,India,,,,,625423,625423.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,,,,846472,846472.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,,,,643964,643964.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,,,,793705,793705.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,,,,883812,883812.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,,,,675375,675375.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,,,,918303,918303.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,,,,922177,922177.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,938861,938861.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5321,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,,,,915528,915528.00000,,,,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5321,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,,,,274509,274509.00000,,,,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5321,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,,,,1231322,1231322.00000,,,,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5321,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,IND,2001,2001,India,,,,,1270299,1270299.00000,,,,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5321,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,IND,2003,2003,India,,,,,1382901,1382901.00000,,,,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5321,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,,,,959677,959677.00000,,,,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,1005281,1005281.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,,,,1041395,1041395.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,IND,2001,2001,India,,,,,575647,575647.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,,,,960233,960233.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,IND,2002,2002,India,,,,,607075,607075.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,IND,2019,2019,India,,,,,1268172,1268172.00000,,,,,
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,,,,555147,555147.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0005,Medical doctors not further defined (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5318,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,IND,2007,2007,India,,,,,731439,731439.00000,,,,,"Includes Practising physicians. Data source: OECD Health Data, accessed July 2020."
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5321,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,,,,1980536,1980536.00000,,,,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5322,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,,,,60061,60061.00000,,,,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5322,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,,,,521593,521593.00000,,,,,
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5322,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,,,,506924,506924.00000,,,,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5321,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,,,,2336204,2336204.00000,,,,,
HWF_0008,Nursing personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5321,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,IND,2019,2019,India,,,,,3263633,3263633.00000,,,,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,,,,217901,217901.00000,,,,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,197734,197734.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,,,,104603,104603.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,,,,251207,251207.00000,,,,,
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,IND,2002,2002,India,,,,,47165,47165.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,,,,13016,13016.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,IND,2001,2001,India,,,,,47204,47204.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,IND,2003,2003,India,,,,,47318,47318.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,IND,2007,2007,India,,,,,73057,73057.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,,,,39105,39105.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,IND,2008,2008,India,,,,,93332,93332.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,,,,120897,120897.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,,,,78096,78096.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,,,,55058,55058.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,,,,55344,55344.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,,,,117825,117825.00000,,,,,Includes Dentists .
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,154436,154436.00000,,,,,Includes Dentists .
HWF_0009,Midwifery personnel (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5322,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,,,,841279,841279.00000,,,,,
HWF_0019,Medical and Pathology Laboratory scientists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5332,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,IND,2019,2019,India,,,,,794375,794375.00000,,,,,Includes Medical Laboratory Scientists as well
HWF_0019,Medical and Pathology Laboratory scientists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5332,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,,,,390000,390000.00000,,,,,
HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5330,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,,,,42079,42079.00000,,,,,Includes Environmental and Occupational Health and Hygiene Professionals .
HWF_0016,Pharmaceutical Technicians and Assistants (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5329,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,,,,33169,33169.00000,,,,,Includes Pharmaceutical Technicians and Assistants .
HWF_0016,Pharmaceutical Technicians and Assistants (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5329,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,,,,104950,104950.00000,,,,,"Includes Pharmaceutical assistants.  Data Source: Health workforce from census data. Minnesota Population Center. Integrated Public Use Microdata Series, International: Version 7.1. Minneapolis, MN: IPUMS, 2018. https://doi.org/10.18128/D020.V7.1"
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,IND,2019,2019,India,,,,,1200814,1200814.00000,,,,,
HWF_0013,Dental Prosthetic Technicians (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5326,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,,,,2388,2388.00000,,,,,
HWF_0013,Dental Prosthetic Technicians (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5326,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,IND,2019,2019,India,,,,,3176,3176.00000,,,,,"Includes Dental Prosthetic Technicians. Data source: WHO Global Oral Health Workforce Survey, accessed November 2019"
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,,,,656101,656101.00000,,,,,Includes Pharmacists .
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,,,,578179,578179.00000,,,,,Includes Pharmacists .
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,,,,129946,129946.00000,,,,,"Includes Pharmacists.  Data Source: Health workforce from census data. Minnesota Population Center. Integrated Public Use Microdata Series, International: Version 7.1. Minneapolis, MN: IPUMS, 2018. https://doi.org/10.18128/D020.V7.1"
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,IND,2003,2003,India,,,,,559408,559408.00000,,,,,Includes Pharmacists .
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5325,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,,,,6366,6366.00000,,,,,Includes Dental Assistants and Therapists .
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5325,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,,,,3097,3097.00000,,,,,
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5325,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,,,,12518,12518.00000,,,,,"Includes Dental assistants.  Data Source: Health workforce from census data. Minnesota Population Center. Integrated Public Use Microdata Series, International: Version 7.1. Minneapolis, MN: IPUMS, 2018. https://doi.org/10.18128/D020.V7.1"
HWF_0012,Dental Assistants and Therapists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5325,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,IND,2019,2019,India,,,,,3533,3533.00000,,,,,"Includes Dental hygienists.  Data source: WHO Global Oral Health Workforce Survey, accessed November 2019"
HWF_0011,Dentists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5324,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,IND,2019,2019,India,,,,,278520,278520.00000,,,,,"Includes Dentists Stock Total. Data source: WHO Global Oral Health Workforce Survey, accessed November 2019"
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,,,,655801,655801.00000,,,,,Includes Pharmacists .
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,,,,630766,630766.00000,,,,,Includes Pharmacists .
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,,,,657230,657230.00000,,,,,Includes Pharmacists .
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,,,,1199518,1199518.00000,,,,,
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,,,,908523,908523.00000,,,,,
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,741548,741548.00000,,,,,Includes Pharmacists .
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,,,,664176,664176.00000,,,,,Includes Pharmacists .
HWF_0015,Pharmacists (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5328,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,,,,177333,177333.00000,,,,,Includes Pharmacists .
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5320,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,,,,1481270,1481270.00000,,,,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5320,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,,,,2821815,2821815.00000,,,,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5320,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,,,,2336204,2336204.00000,,,,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5320,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,,,,334570,334570.00000,,,,,
HWF_0007,Nursing and midwifery personnel  (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5320,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,IND,2019,2019,India,,,,,3263633,3263633.00000,,,,,
HWF_0024,Community Health Workers (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5337,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,IND,2019,2019,India,,,,,1097609,1097609.00000,,,,,
HWF_0024,Community Health Workers (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5337,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,,,,970676,970676.00000,,,,,
HWF_0023,Traditional and Complementary Medicine Professionals  (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5336,PUBLISHED,Published,,2019,2019,,SEAR,South-East Asia,,IND,2019,2019,India,,,,,565781,565781.00000,,,,,
HWF_0023,Traditional and Complementary Medicine Professionals  (number),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5336,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,,,,136413,136413.00000,,,,,Includes Traditional and Complementary Medicine Professionals .
