GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,0.00,0.00000,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,5.56,5.55556,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,2.83,2.83019,,,,,
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,8.00,8.00000,,,,,
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,10.81,10.81081,,,,,CRO
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,3.92,3.92157,,,,,CRO
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,9.43,9.43396,,,,,CRO
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,5.56,5.55556,,,,,CRO
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,2.83,2.83019,,,,,CRO
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,8.00,8.00000,,,,,CRO
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,53,53.00000,,,,,
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,55,55.00000,,,,,
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,50,50.00000,,,,,
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,72,72.00000,,,,,
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,106,106.00000,,,,,
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,99,99.00000,,,,,
GASPTICFM,Number of isolates tested for cefixime,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,90,90.00000,,,,,
GASPTICFM,Number of isolates tested for cefixime,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,79,79.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,37,37.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,37,37.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,53,53.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,88,88.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,50,50.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,72,72.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,108,108.00000,,,,,
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,101,101.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,37,37.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,51,51.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,53,53.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,88,88.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,50,50.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,72,72.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,106,106.00000,,,,,
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,100,100.00000,,,,,
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,37,37.00000,,,,,CRO
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,51,51.00000,,,,,CRO
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,53,53.00000,,,,,CRO
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,88,88.00000,,,,,CFM/CRO
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,50,50.00000,,,,,CFM/CRO
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,72,72.00000,,,,,CRO
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,106,106.00000,,,,,CRO
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,100,100.00000,,,,,CRO
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,0.00,0.00000,,,,,CFM/CRO
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,0.00,0.00000,,,,,CFM/CRO
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,0,0.00000,,,,,Data_Source_GASP
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,0,0.00000,,,,,Data_Source_GASP_ESC CRO
GASPRSCRO,Proportion of isolates with decreased susceptibility or resistance (DS/R) to ceftriaxone reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,3.13,3.12500,,,,,Data_Source_GASP
GASPRSESC,Proportion of isolates with decreased susceptibility or resistance (DS/R) to extended-spectrum cephalosporins reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,3.13,3.12500,,,,,Data_Source_GASP_ESC CRO
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,9.38,9.37500,,,,,Data_Source_GASP
GASPRSAZM,Proportion of isolates with resistance to azithromycin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,14.29,14.28571,,,,,Data_Source_GASP
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,28,28.00000,,,,,Data_Source_GASP
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,28,28.00000,,,,,Data_Source_GASP
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,28,28.00000,,,,,Data_Source_GASP
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,28,28.00000,,,,,Data_Source_GASP_ESC CRO
GASPTIAZM,Number of isolates tested for azithromycin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,32,32.00000,,,,,Data_Source_GASP
GASPTICRO,Number of isolates tested for ceftriaxone,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,32,32.00000,,,,,Data_Source_GASP
GASPTICIP,Number of isolates tested for ciprofloxacin,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,32,32.00000,,,,,Data_Source_GASP
GASPTIESC,Number of isolates tested for extended-spectrum cephalosporins,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5551,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,32,32.00000,,,,,Data_Source_GASP_ESC CRO
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,85.71,85.71429,,,,,Data_Source_GASP
GASPRSCIP,Proportion of isolates with resistance to ciprofloxacin reported to WHO-GASP,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5550,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,96.88,96.87500,,,,,Data_Source_GASP
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,Yes,,,,,,Data_Source_GASP
GASPRP,Reporting countries,http://apps.who.int/gho/data/node.wrapper.imr?x-id=5552,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,Yes,,,,,,Data_Source_GASP
