GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),RSUDHWF (CODE),RSUDHWF (DISPLAY),RSUDHWF (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
RSUD_780,Continuing professional development in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,EMR,Eastern Mediterranean,,IND,2014,2014,India,,,,,PSYCHOLOGISTS,Psychologists,,No,,,,,,
RSUD_780,Continuing professional development in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,SOCIAL_WORKERS,Social workers,,No,,,,,,
RSUD_780,Continuing professional development in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,NARCOLOGISTS,Addiction medicine specialists/narcologists,,No,,,,,,
RSUD_800,Postgraduate training programme in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,PSYCHIATRISTS,Psychiatrists,,Yes,,,,,,
RSUD_800,Postgraduate training programme in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,EMR,Eastern Mediterranean,,IND,2014,2014,India,,,,,PSYCHOLOGISTS,Psychologists,,Yes,,,,,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2576,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,DOCTORS_NOT_SPECIALIZED_IN_PSYCH_OR_ADDICTMED,Medical doctors not specialized in psychiatry or addiction medicine,,No data,,,,,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2576,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,ADDICTION_COUNSELLORS,Addiction counsellors,,No data,,,,,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2576,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,NARCOLOGISTS,Addiction medicine specialists/narcologists,,No data,,,,,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2576,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,COMMUNITY_HEALTH_WORKERS,Community health workers,,No data,,,,,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2576,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,NURSES_NOT_SPECIALIZED_IN_PSYCH,Nurses not specialized in psychiatry,,No data,,,,,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2576,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,OUTREACH_FIELD_WORKERS,Outreach/field workers,,No data,,,,,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2576,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,PSYCHIATRIC_NURSES,Psychiatric nurses,,No data,,,,,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2576,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,PSYCHIATRISTS,Psychiatrists,,No data,,,,,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2576,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,PSYCHOLOGISTS,Psychologists,,No data,,,,,,
RSUD_750,Standards of care for professionals providing treatment for alcohol and drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2576,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,SOCIAL_WORKERS,Social workers,,No data,,,,,,
RSUD_770,Postgraduate training programme in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,PSYCHIATRISTS,Psychiatrists,,No data,,,,,,
RSUD_770,Postgraduate training programme in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,DOCTORS,Medical doctors,,No data,,,,,,
RSUD_770,Postgraduate training programme in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,NURSES,Nurses,,No data,,,,,,
RSUD_770,Postgraduate training programme in prevention,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,AFR,Africa,,IND,2014,2014,India,,,,,COMMUNITY_HEALTH_WORKERS,Community health workers,,No data,,,,,,
RSUD_790,Educational attainment in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2509,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,BACHELOR,Bachelor's or equivalent level,,,,,No data,,,,,,
RSUD_790,Educational attainment in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2509,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,MASTER,Master's or equivalent level,,,,,No data,,,,,,
RSUD_790,Educational attainment in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2509,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,TERTIARY,Short-cycle tertiary education,,,,,No data,,,,,,
RSUD_790,Educational attainment in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2509,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,DOCTORAL,Doctoral or equivalent level,,,,,No data,,,,,,
RSUD_800,Postgraduate training programme in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,COUNSELLORS,Counsellors,,No data,,,,,,
RSUD_800,Postgraduate training programme in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,DOCTORS,Medical doctors,,No data,,,,,,
RSUD_800,Postgraduate training programme in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,NURSES,Nurses,,No data,,,,,,
RSUD_800,Postgraduate training programme in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,AFR,Africa,,IND,2014,2014,India,,,,,COMMUNITY_HEALTH_WORKERS,Community health workers,,No data,,,,,,
RSUD_800,Postgraduate training programme in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2577,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,SOCIAL_WORKERS,Social workers,,No data,,,,,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,ADDICTION_COUNSELLORS,Addiction counsellors,,No data,,,,,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,AFR,Africa,,IND,2014,2014,India,,,,,COMMUNITY_HEALTH_WORKERS,Community health workers,,No data,,,,,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,DOCTORS,Medical doctors,,No data,,,,,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,NURSES,Nurses,,No data,,,,,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,PSYCHIATRISTS,Psychiatrists,,No data,,,,,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,EMR,Eastern Mediterranean,,IND,2014,2014,India,,,,,PSYCHOLOGISTS,Psychologists,,No data,,,,,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,SOCIAL_WORKERS,Social workers,,No data,,,,,,
RSUD_810,Continuing professional development in treatment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2557,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,NARCOLOGISTS,Addiction medicine specialists/narcologists,,No data,,,,,,
