GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),WEALTHDECILE (CODE),WEALTHDECILE (DISPLAY),WEALTHDECILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
ebreast5,Early initiation of breastfeeding (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,No data,,,,,,Not available.
fpsmo,Demand for family planning satisfied - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,65.0 [64.1-65.9],65.00000,64.05331,65.93502,,,
fpsmo,Demand for family planning satisfied - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,71.5 [70.4-72.6],71.51047,70.41000,72.58594,,,
fullv,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,35.0 [33.4-36.6],34.96300,33.40245,36.55643,,,
fullv,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,54.9 [52.0-57.8],54.91970,52.04425,57.76266,,,
mslv,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,45.3 [43.5-47.0],45.27851,43.54100,47.02761,,,
mslv,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,69.2 [66.6-71.7],69.21323,66.58784,71.71993,,,
obesewm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,0.9 [0.8-1.1],0.94721,0.83419,1.07539,,,
obesewm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,5.9 [5.4-6.4],5.91367,5.44070,6.42497,,,
poliov,Polio immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3339,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,56.3 [54.6-58.0],56.32287,54.60452,58.02617,,,
poliov,Polio immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3339,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,72.2 [69.8-74.4],72.17805,69.78893,74.44740,,,
stunt3,Stunting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3346,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,53.9 [52.9-54.9],53.89306,52.90887,54.87422,,,
stunt3,Stunting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3346,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,41.0 [39.2-42.8],41.00159,39.22960,42.79725,,,
uweight3,Underweight prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3347,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,45.3 [44.2-46.3],45.27012,44.24978,46.29445,,,
uweight3,Underweight prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3347,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,34.0 [32.4-35.7],34.03860,32.39225,35.72441,,,
uweight5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,No data,,,,,,Not available.
uweight5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,No data,,,,,,Not available.
wast3,Wasting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4487,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,20.7 [19.9-21.5],20.68709,19.92384,21.47173,,,
wast3,Wasting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4487,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,16.4 [15.1-17.7],16.36425,15.07379,17.74211,,,
bcgv,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,75.1 [73.3-76.8],75.06603,73.25478,76.79350,,,
bcgv,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,86.9 [84.9-88.6],86.85075,84.87413,88.60376,,,
cpmo,Contraceptive prevalence - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3334,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,45.3 [44.5-46.1],45.30183,44.48531,46.12090,,,
cpmo,Contraceptive prevalence - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3334,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,55.8 [54.8-56.8],55.81914,54.81823,56.81534,,,
dptv,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,50.5 [48.6-52.5],50.53473,48.57502,52.49281,,,
dptv,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,69.3 [66.6-71.9],69.30964,66.63374,71.86156,,,
ebreast,Early initiation of breastfeeding (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,22.1 [21.1-23.0],22.05742,21.11176,23.03306,,,
ebreast,Early initiation of breastfeeding (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,29.7 [28.0-31.5],29.67379,27.95003,31.45743,,,
ebreast5,Early initiation of breastfeeding (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,22.4 [21.5-23.3],22.38603,21.50747,23.28983,,,
ebreast5,Early initiation of breastfeeding (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,30.3 [28.8-31.9],30.32139,28.78778,31.90009,,,
fpsmo,Demand for family planning satisfied - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,67.1 [66.3-68.0],67.12591,66.26285,67.97755,,,
fpsmo,Demand for family planning satisfied - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3813,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,75.6 [74.7-76.6],75.63587,74.65039,76.59505,,,
fullv,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,38.7 [36.9-40.5],38.69915,36.90384,40.52570,,,
fullv,Full immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3317,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,57.7 [54.9-60.4],57.65512,54.87645,60.38622,,,
mslv,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,54.2 [52.2-56.1],54.19096,52.24116,56.12801,,,
mslv,Measles immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3337,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,71.8 [69.2-74.2],71.75988,69.23808,74.15213,,,
obesewm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,1.3 [1.1-1.4],1.25125,1.14022,1.37296,,,
obesewm,"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3319,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,6.1 [5.7-6.5],6.10516,5.69267,6.54547,,,
poliov,Polio immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3339,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,76.7 [75.1-78.3],76.73914,75.08595,78.31432,,,
poliov,Polio immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3339,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,83.3 [81.2-85.2],83.27917,81.20169,85.16899,,,
stunt3,Stunting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3346,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,47.4 [46.3-48.5],47.41389,46.32080,48.50945,,,
stunt3,Stunting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3346,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,37.1 [35.5-38.8],37.13902,35.54746,38.75897,,,
uweight3,Underweight prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3347,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,43.8 [42.7-44.9],43.79486,42.68742,44.90852,,,
uweight3,Underweight prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3347,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,29.9 [28.3-31.6],29.94474,28.34455,31.59544,,,
uweight5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,45.6 [44.6-46.6],45.61244,44.64268,46.58554,,,
uweight5,Underweight prevalence in children aged < 5 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3329,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,32.7 [31.2-34.2],32.67295,31.21166,34.16867,,,
wast3,Wasting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4487,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,RUR,Rural,,,,,,,,,,,24.1 [23.1-25.0],24.05401,23.12933,25.00364,,,
wast3,Wasting prevalence in children aged < 3 years (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4487,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,IND,India,,,,,,,,,,,URB,Urban,,,,,,,,,,,19.0 [17.7-20.4],18.98107,17.67219,20.36291,,,
bcgv,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,NHLM,None,,,,,,,,,,,,,,,,,57.2 [55.5-58.9],57.21770,55.48972,58.92826,,,
bcgv,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,79.8 [77.2-82.2],79.79002,77.18891,82.16306,,,
bcgv,BCG immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3325,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,92.2 [91.0-93.2],92.16255,90.98835,93.19520,,,
cpmo,Contraceptive prevalence - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3334,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,NHLM,None,,,,,,,,,,,,,,,,,38.4 [37.6-39.2],38.39982,37.58630,39.21989,,,
cpmo,Contraceptive prevalence - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3334,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,49.1 [47.9-50.2],49.08051,47.94413,50.21785,,,
cpmo,Contraceptive prevalence - modern methods (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3334,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,47.1 [46.3-48.0],47.13646,46.30574,47.96877,,,
dptv,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,NHLM,None,,,,,,,,,,,,,,,,,38.5 [36.9-40.2],38.53246,36.85115,40.24160,,,
dptv,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,62.2 [59.0-65.4],62.24384,58.97485,65.40516,,,
dptv,DTP3 immunization coverage among one-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3335,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,81.1 [79.4-82.6],81.08228,79.41054,82.64796,,,
ebreast,Early initiation of breastfeeding (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,NHLM,None,,,,,,,,,,,,,,,,,12.6 [11.6-13.6],12.58691,11.61690,13.62543,,,
ebreast,Early initiation of breastfeeding (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,PRLM,Primary,,,,,,,,,,,,,,,,,18.7 [17.3-20.2],18.72696,17.29524,20.24820,,,
ebreast,Early initiation of breastfeeding (in the two or three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,SHLM,Secondary or higher,,,,,,,,,,,,,,,,,22.2 [21.0-23.5],22.21849,20.96650,23.52299,,,
ebreast5,Early initiation of breastfeeding (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3336,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,IND,India,,,,,NHLM,None,,,,,,,,,,,,,,,,,No data,,,,,,Not available.
