GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
pncall3,Postnatal care visit within two days of birth (in the three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3340,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ4,Q4,,62.0,62.04000,,,,,
pncall3,Postnatal care visit within two days of birth (in the three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3340,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ5,Q5 (Richest),,86.1,86.09000,,,,,
pncall5,Postnatal care visit within two days of birth (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3340,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ1,Q1 (Poorest),,14.2,14.22000,,,,,
pncall5,Postnatal care visit within two days of birth (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3340,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ2,Q2,,25.8,25.77000,,,,,
pnchome5,Postnatal care visit within two days of birth - born outside a health facility (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3341,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,,,,,,,,,,WQ5,Q5 (Richest),,3.1,3.11000,,,,,
pnchome3,Postnatal care visit within two days of birth - born outside a health facility (in the three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3341,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,PRLM,Primary,,,,,,,,,,,1.8,1.84000,,,,,
pnchome3,Postnatal care visit within two days of birth - born outside a health facility (in the three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3341,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,SHLM,Secondary or higher,,,,,,,,,,,1.6,1.65000,,,,,
pnchome5,Postnatal care visit within two days of birth - born outside a health facility (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3341,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,NHLM,None,,,,,,,,,,,1.2,1.22000,,,,,
pnchome5,Postnatal care visit within two days of birth - born outside a health facility (in the five years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3341,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,PRLM,Primary,,,,,,,,,,,1.8,1.78000,,,,,
WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_310396,NLIS_310396,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=310396,PUBLISHED,Published,,1974-1979,1974-1979,,SEAR,1974,1979,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,67.3,67.30000,,,,,
MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_311549,NLIS_311549,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311549,PUBLISHED,Published,,1992-1993,1992-1993,,SEAR,1992,1993,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,57.1,57.10000,,,,,
MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_312180,NLIS_312180,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312180,PUBLISHED,Published,,1998-1999,1998-1999,,SEAR,1998,1999,South-East Asia,,,,,IND,India,,,,,FMLE,Female,,,,,,,,50.9,50.90000,,,,,
WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_311549,NLIS_311549,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311549,PUBLISHED,Published,,1992-1993,1992-1993,,SEAR,1992,1993,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,50.7,50.70000,,,,,
WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_311549,NLIS_311549,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311549,PUBLISHED,Published,,1992-1993,1992-1993,,SEAR,1992,1993,South-East Asia,,,,,IND,India,,,,,FMLE,Female,,,,,,,,48.8,48.80000,,,,,
WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_312180,NLIS_312180,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312180,PUBLISHED,Published,,1998-1999,1998-1999,,SEAR,1998,1999,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,44.4,44.40000,,,,,
WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_312799,NLIS_312799,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312799,PUBLISHED,Published,,2005-2006,2005-2006,,SEAR,2005,2006,South-East Asia,,,,,IND,India,,,,,FMLE,Female,,,,,,,,43.9,43.90000,,,,,
WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_312799,NLIS_312799,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312799,PUBLISHED,Published,,2005-2006,2005-2006,,SEAR,2005,2006,South-East Asia,,,,,IND,India,,,,,MLE,Male,,,,,,,,43.1,43.10000,,,,,
NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_311549,NLIS_311549,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311549,PUBLISHED,Published,,1992-1993,1992-1993,,SEAR,1992,1993,South-East Asia,,,,,IND,India,,,,,MLE,Male,,,,,,,,22.8,22.80000,,,,,
NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_310405,NLIS_310405,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=310405,PUBLISHED,Published,,1988-1990,1988-1990,,SEAR,1988,1990,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,21.3,21.30000,,,,,
NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_312180,NLIS_312180,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312180,PUBLISHED,Published,,1998-1999,1998-1999,,SEAR,1998,1999,South-East Asia,,,,,IND,India,,,,,MLE,Male,,,,,,,,20.5,20.50000,,,,,
NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_312799,NLIS_312799,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312799,PUBLISHED,Published,,2005-2006,2005-2006,,SEAR,2005,2006,South-East Asia,,,,,IND,India,,,,,FMLE,Female,,,,,,,,19.3,19.30000,,,,,
NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_311923,NLIS_311923,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311923,PUBLISHED,Published,,1996-1997,1996-1997,,SEAR,1996,1997,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,19.3,19.30000,,,,,
NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_311549,NLIS_311549,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311549,PUBLISHED,Published,,1992-1993,1992-1993,,SEAR,1992,1993,South-East Asia,,,,,IND,India,,,,,FMLE,Female,,,,,,,,19.3,19.30000,,,,,
WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_312180,NLIS_312180,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312180,PUBLISHED,Published,,1998-1999,1998-1999,,SEAR,1998,1999,South-East Asia,,,,,IND,India,,,,,MLE,Male,,,,,,,,3.9,3.90000,,,,,
NUTRITION_WA_2,Prevalence of underweight children aged <5 years   (% weight-for-age <-2 SD) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,,,,PUBLISHED,Published,,2016-2018,2016-2018,,SEAR,2016,2018,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,33.4,33.40000,,,,,"NNS. Comprehensive National Nutrition Survey (CNNS) National Report. New Delhi.Ministry of Health and Family Welfare (MoHFW), Government of India, UNICEF and Population Council. 0-4 years old"
NUTRITION_WH2,Prevalence of overweight children aged <5 years   (% weight-for-height >+2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,,,,PUBLISHED,Published,,1996-1997,1996-1997,,SEAR,1996,1997,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,5.9,5.90000,,,,,"Other. Diet and nutrition situation in rural India. Indian Journal of Medical Research 1998;108:243-253 (and additional analysis)..Vijayaraghavan K, Hanumantha Rao D.. Adjusted NR to NA; 11 States; converted estimates"
NUTRITION_WH2,Prevalence of overweight children aged <5 years   (% weight-for-height >+2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,,,,PUBLISHED,Published,,1998-1999,1998-1999,,SEAR,1998,1999,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,2.9,2.90000,,,,,"DHS. National family health survey (NFHS-2) 1998-99. Demographic and Health Surveys. Mumbai, India, 2000 (and additional analysis)..International Institute for Population Sciences (IIPS) and ORC Macro.. Age-adjusted;"
NUTRITION_WH2,Prevalence of overweight children aged <5 years   (% weight-for-height >+2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,,,,PUBLISHED,Published,,2005-2006,2005-2006,,SEAR,2005,2006,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,1.9,1.91239,,,,,"DHS. National family health survey (NFHS-3), 2005-06: India: Volume I. Demographic and Health Surveys. Mumbai, India: IIPS, 2007 (and additional analysis)..International Institute for Population Sciences (IIPS) and Macro International.. "
NUTRITION_WH2,Prevalence of overweight children aged <5 years   (% weight-for-height >+2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,,,,PUBLISHED,Published,,2013-2014,2013-2014,,SEAR,2013,2014,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,,,,,,,"Other. Rapid survey on children 2013-2014. India factsheet. . http://wcd.nic.in/ accessed 14 August 2014..Ministry of Women and Child Development,  Government of India and UNICEF. . (pending reanalysis)"
NUTRITION_WH_2,Prevalence of wasted children aged <5 years   (% weight-for-height <-2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,,,,PUBLISHED,Published,,1988-1990,1988-1990,,SEAR,1988,1990,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,20.3,20.30000,,,,,"Other. National Nutrition Monitoring Bureau, 1988-90 (8 States pooled data). Hyderabad, India; 1993 (data reanalyzed for WHO)..National Institute of Nutrition.. Adjusted NR to NA; 8 States; converted estimates"
NUTRITION_WH_2,Prevalence of wasted children aged <5 years   (% weight-for-height <-2 SD),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,,,,PUBLISHED,Published,,1991-1992,1991-1992,,SEAR,1991,1992,South-East Asia,,,,,IND,India,,,,,BTSX,Both sexes,,,,,,,,20.0,20.00000,,,,,"Other. National Nutrition Monitoring Bureau, 1991-92 (8 States pooled data). Hyderabad, India; 1993 (data reanalyzed for WHO)..National Institute of Nutrition.. Adjusted NR to NA; 8 States; converted estimates"
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,,,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,51,51.00000,,,,,
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,,,,PUBLISHED,Published,,2014,2014,,SEAR,2014,2014,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,60,60.00000,,,,,
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,69,69.00000,,,,,
MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4756,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,76,76.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1981,1981,,SEAR,1981,1981,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,6,6.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1982,1982,,SEAR,1982,1982,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,12,12.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1983,1983,,SEAR,1983,1983,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,14,14.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1984,1984,,SEAR,1984,1984,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,16,16.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1998,1998,,SEAR,1998,1998,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,61,61.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1999,1999,,SEAR,1999,1999,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,59,59.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,58,58.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,59,59.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,87,87.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,88,88.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2017,2017,,SEAR,2017,2017,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,89,89.00000,,,,,
WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2018,2018,,SEAR,2018,2018,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,90,90.00000,,,,,
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2015,2015,,SEAR,2015,2015,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,87,87.00000,,,,,
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2016,2016,,SEAR,2016,2016,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,88,88.00000,,,,,
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2017,2017,,SEAR,2017,2017,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,89,89.00000,,,,,
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2018,2018,,SEAR,2018,2018,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,90,90.00000,,,,,
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2019,2019,,SEAR,2019,2019,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,91,91.00000,,,,,
WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1986,1986,,SEAR,1986,1986,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,9,9.00000,,,,,
WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1987,1987,,SEAR,1987,1987,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,23,23.00000,,,,,
WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1988,1988,,SEAR,1988,1988,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,23,23.00000,,,,,
WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1989,1989,,SEAR,1989,1989,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,28,28.00000,,,,,
WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,77,77.00000,,,,,
WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,80,80.00000,,,,,
WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,86,86.00000,,,,,
WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,86,86.00000,,,,,
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1980,1980,,SEAR,1980,1980,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,2,2.00000,,,,,
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1981,1981,,SEAR,1981,1981,South-East Asia,,WB_LMI,Lower-middle-income,,IND,India,,,,,,,,,,,,,,2,2.00000,,,,,
