GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [4.1-4.9],4.50000,4.10000,4.90000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1986,1986,,SEAR,South-East Asia,,IND,1986,1986,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.6 [4.1-5.0],4.60000,4.10000,5.00000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1987,1987,,SEAR,South-East Asia,,IND,1987,1987,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.6 [4.1-5.0],4.60000,4.10000,5.00000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1988,1988,,SEAR,South-East Asia,,IND,1988,1988,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.6 [4.2-4.9],4.60000,4.20000,4.90000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1989,1989,,SEAR,South-East Asia,,IND,1989,1989,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.6 [4.2-4.9],4.60000,4.20000,4.90000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1990,1990,,SEAR,South-East Asia,,IND,1990,1990,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.6 [4.3-4.9],4.60000,4.30000,4.90000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,IND,2003,2003,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.4 [4.3-4.6],4.40000,4.30000,4.60000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.4 [4.2-4.6],4.40000,4.20000,4.60000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.4 [4.2-4.6],4.40000,4.20000,4.60000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.4 [4.2-4.6],4.40000,4.20000,4.60000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1981,1981,,SEAR,South-East Asia,,IND,1981,1981,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [3.7-5.2],4.50000,3.70000,5.20000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1982,1982,,SEAR,South-East Asia,,IND,1982,1982,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [3.8-5.2],4.50000,3.80000,5.20000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1983,1983,,SEAR,South-East Asia,,IND,1983,1983,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [3.8-5.1],4.50000,3.80000,5.10000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1984,1984,,SEAR,South-East Asia,,IND,1984,1984,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [3.9-5.1],4.50000,3.90000,5.10000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1997,1997,,SEAR,South-East Asia,,IND,1997,1997,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [4.3-4.7],4.50000,4.30000,4.70000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,IND,1998,1998,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [4.3-4.7],4.50000,4.30000,4.70000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,IND,1999,1999,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [4.3-4.7],4.50000,4.30000,4.70000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [4.3-4.7],4.50000,4.30000,4.70000,,,
CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,IND,2001,2001,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [4.3-4.7],4.50000,4.30000,4.70000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1980,1980,,SEAR,South-East Asia,,IND,1980,1980,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.6 [3.8-5.3],4.60000,3.80000,5.30000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1981,1981,,SEAR,South-East Asia,,IND,1981,1981,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.6 [3.8-5.3],4.60000,3.80000,5.30000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1982,1982,,SEAR,South-East Asia,,IND,1982,1982,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.6 [3.9-5.2],4.60000,3.90000,5.20000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1983,1983,,SEAR,South-East Asia,,IND,1983,1983,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.6 [4.0-5.2],4.60000,4.00000,5.20000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1984,1984,,SEAR,South-East Asia,,IND,1984,1984,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.6 [4.0-5.1],4.60000,4.00000,5.10000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1997,1997,,SEAR,South-East Asia,,IND,1997,1997,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.6 [4.4-4.7],4.60000,4.40000,4.70000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,IND,1998,1998,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.5 [4.4-4.7],4.50000,4.40000,4.70000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,IND,1999,1999,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.5 [4.3-4.7],4.50000,4.30000,4.70000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.5 [4.3-4.7],4.50000,4.30000,4.70000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1981,1981,,SEAR,South-East Asia,,IND,1981,1981,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [3.7-5.3],4.50000,3.70000,5.30000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1982,1982,,SEAR,South-East Asia,,IND,1982,1982,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [3.8-5.3],4.50000,3.80000,5.30000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1983,1983,,SEAR,South-East Asia,,IND,1983,1983,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [3.9-5.2],4.50000,3.90000,5.20000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1984,1984,,SEAR,South-East Asia,,IND,1984,1984,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [3.9-5.1],4.50000,3.90000,5.10000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1998,1998,,SEAR,South-East Asia,,IND,1998,1998,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [4.3-4.8],4.50000,4.30000,4.80000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,IND,1999,1999,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.5 [4.3-4.8],4.50000,4.30000,4.80000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.6 [4.3-4.8],4.60000,4.30000,4.80000,,,
CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,IND,2001,2001,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.6 [4.3-4.8],4.60000,4.30000,4.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1988,1988,,SEAR,South-East Asia,,IND,1988,1988,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.1 [4.8-5.5],5.10000,4.80000,5.50000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1989,1989,,SEAR,South-East Asia,,IND,1989,1989,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.1 [4.8-5.5],5.10000,4.80000,5.50000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1990,1990,,SEAR,South-East Asia,,IND,1990,1990,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.2 [4.9-5.5],5.20000,4.90000,5.50000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.2 [4.9-5.4],5.20000,4.90000,5.40000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [5.3-5.7],5.50000,5.30000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [5.2-5.7],5.50000,5.20000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,IND,2007,2007,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [5.2-5.8],5.50000,5.20000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,IND,2008,2008,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [5.2-5.8],5.50000,5.20000,5.80000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1986,1986,,SEAR,South-East Asia,,IND,1986,1986,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.1 [4.7-5.6],5.10000,4.70000,5.60000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1987,1987,,SEAR,South-East Asia,,IND,1987,1987,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.2 [4.7-5.6],5.20000,4.70000,5.60000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1988,1988,,SEAR,South-East Asia,,IND,1988,1988,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.2 [4.8-5.5],5.20000,4.80000,5.50000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1989,1989,,SEAR,South-East Asia,,IND,1989,1989,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.2 [4.8-5.5],5.20000,4.80000,5.50000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,IND,2003,2003,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.3-5.7],5.50000,5.30000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.3-5.7],5.50000,5.30000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.3-5.7],5.50000,5.30000,5.70000,,,
NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.5 [5.3-5.8],5.50000,5.30000,5.80000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1992,1992,,SEAR,South-East Asia,,IND,1992,1992,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.6 [120.6-126.7],123.60000,120.60000,126.70000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,IND,1993,1993,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.7 [120.8-126.7],123.70000,120.80000,126.70000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1994,1994,,SEAR,South-East Asia,,IND,1994,1994,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.8 [121.0-126.6],123.80000,121.00000,126.60000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1995,1995,,SEAR,South-East Asia,,IND,1995,1995,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.9 [121.2-126.7],123.90000,121.20000,126.70000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,AGE25-PLUS,25+ years,,MLE,Male,,,,,122.9 [118.2-127.4],122.90000,118.20000,127.40000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1990,1990,,SEAR,South-East Asia,,IND,1990,1990,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,122.3 [118.8-125.8],122.30000,118.80000,125.80000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1991,1991,,SEAR,South-East Asia,,IND,1991,1991,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,122.5 [119.2-125.9],122.50000,119.20000,125.90000,,,
BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1992,1992,,SEAR,South-East Asia,,IND,1992,1992,India,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,122.7 [119.5-125.9],122.70000,119.50000,125.90000,,,
