GHO (CODE),GHO (DISPLAY),GHO (URL),GBDCHILDCAUSES (CODE),GBDCHILDCAUSES (DISPLAY),GBDCHILDCAUSES (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,,,,,,,GHE001,Communicable & other Group I,,,,,42,42.00000,,,,,
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,,,,,,,GHE060,Noncommunicable diseases,,,,,44,44.00000,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,,,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,,,,,,,GHE060,Noncommunicable diseases,,,,,"29,039",29039.33984,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,,,,,,,GHE000,All Causes,,,,,"47,950",47950.19922,,,,,
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,,,,PUBLISHED,Published,,2012,2012,,SEAR,2012,2012,South-East Asia,,,,,IND,India,,,,,,,,GHE151,Injuries,,,,,15,15.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,5459,5459.10400,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,176,176.05820,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,35130,35130.27000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,143292,143291.60000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,8147,8146.88400,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2013,2013,,SEAR,2013,2013,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,52356,52356.46000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,47379,47379.35000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,47931,47930.94000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,361258,361258.20000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,12512,12511.87000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,73646,73645.71000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2000,2000,,SEAR,2000,2000,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,92766,92765.85000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,12850,12850.38000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,333711,333710.80000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,8527,8527.47900,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH9,Acute lower respiratory infectionsAcute lower respiratory infections,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,355439,355438.70000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH15,Congenital anomaliesCongenital anomalies,,PUBLISHED,Published,,2001,2001,,SEAR,2001,2001,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,60601,60600.85000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH6,MeaslesMeasles,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH6,MeaslesMeasles,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,78356,78356.02000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,280142,280141.60000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2002,2002,,SEAR,2002,2002,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,281,281.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,6112,6111.95100,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH9,Acute lower respiratory infectionsAcute lower respiratory infections,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,364847,364846.70000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,40987,40987.40000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,64669,64669.15000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH17,InjuriesInjuries,,PUBLISHED,Published,,2003,2003,,SEAR,2003,2003,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,8561,8561.26700,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH2,HIV/AIDSHIV/AIDS,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,95,94.55928,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH2,HIV/AIDSHIV/AIDS,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,9456,9455.92800,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,51954,51953.59000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,8656,8655.95800,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,99662,99662.20000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH15,Congenital anomaliesCongenital anomalies,,PUBLISHED,Published,,2004,2004,,SEAR,2004,2004,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,68096,68095.66000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,23879,23879.33000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH6,MeaslesMeasles,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,56563,56562.84000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,11301,11300.92000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2005,2005,,SEAR,2005,2005,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,169029,169029.30000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,238459,238458.90000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,5512,5512.43700,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH9,Acute lower respiratory infectionsAcute lower respiratory infections,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,252001,252001.10000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH10,PrematurityPrematurity,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,336701,336701.30000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,830,830.05000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2006,2006,,SEAR,2006,2006,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,56777,56776.63000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH2,HIV/AIDSHIV/AIDS,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,7783,7783.20800,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,46432,46431.88000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH8,MalariaMalaria,,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2007,2007,,SEAR,2007,2007,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,61194,61193.50000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,236,235.77870,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH6,MeaslesMeasles,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,180020,180020.50000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH11,Birth asphyxia and birth traumaBirth asphyxia and birth trauma,,PUBLISHED,Published,,2008,2008,,SEAR,2008,2008,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,188807,188807.30000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH3,Diarrhoeal diseasesDiarrhoeal diseases,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,174432,174431.60000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH4,Pertussis,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,252,252.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH9,Acute lower respiratory infectionsAcute lower respiratory infections,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,33802,33801.85000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH9,Acute lower respiratory infectionsAcute lower respiratory infections,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,232800,232800.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH15,Congenital anomaliesCongenital anomalies,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,59860,59859.64000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH15,Congenital anomaliesCongenital anomalies,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,102172,102171.80000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH16,Other noncommunicable diseasesOther noncommunicable diseases,,PUBLISHED,Published,,2009,2009,,SEAR,2009,2009,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,50383,50382.54000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH2,HIV/AIDSHIV/AIDS,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,58,58.32048,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,0,0.00000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH7,Meningitis/encephalitisMeningitis/encephalitis,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,38753,38753.34000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,121559,121558.90000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH12,Sepsis and other infectious conditions of the newbornSepsis and other infectious conditions of the newborn,,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,IND,India,,YEARS0-4,0-4 years,,BTSX,Both sexes,,,,,,,,121559,121558.90000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH13,"Other communicable, perinatal and nutritional conditionsOther communicable, perinatal and nutritional conditions",,PUBLISHED,Published,,2010,2010,,SEAR,2010,2010,South-East Asia,,,,,IND,India,,MONTHS1-59,1-59 months,,BTSX,Both sexes,,,,,,,,67471,67470.58000,,,,,
MORT_100,Number of deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3365,CH5,TetanusTetanus,,PUBLISHED,Published,,2011,2011,,SEAR,2011,2011,South-East Asia,,,,,IND,India,,DAYS0-27,0-27 days,,BTSX,Both sexes,,,,,,,,13081,13081.10000,,,,,
