GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,MLE,Male,,,,,ENVCAUSE000,Total,,147[ 125–167],146.89409,125.06907,167.15935,,,
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,BTSX,Both sexes,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,37[ 28–45],36.81539,28.07239,44.96701,,,
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,FMLE,Female,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,38[ 31–45],38.18700,30.70784,45.23962,,,
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,MLE,Male,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,36[ 23–46],35.54054,23.16149,46.00109,,,
SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,BTSX,Both sexes,,,,,ENVCAUSE000,Total,,184[ 158–207],184.25189,157.94843,207.24405,,,
SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,FMLE,Female,,,,,ENVCAUSE000,Total,,166[ 143–187],166.03972,142.79619,186.81200,,,
SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,MLE,Male,,,,,ENVCAUSE000,Total,,202[ 172–230],202.27477,172.22147,230.18027,,,
SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,BTSX,Both sexes,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,53[ 40–65],52.97952,40.39782,64.71017,,,
SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,FMLE,Female,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,51[ 41–60],50.67249,40.74797,60.03101,,,
SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,MLE,Male,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,55[ 36–72],55.31456,36.04806,71.59514,,,
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,BTSX,Both sexes,,,,,,,,141[ 121-158],140.75473,120.66084,158.31902,,,
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,FMLE,Female,,,,,,,,134[ 115-151],134.14499,115.36633,150.92711,,,
SDGAIRBOD,Ambient and household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,MLE,Male,,,,,,,,147[ 125-167],146.89409,125.06907,167.15935,,,
SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,BTSX,Both sexes,,,,,,,,184[ 158-207],184.25189,157.94843,207.24405,,,
SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,FMLE,Female,,,,,,,,166[ 143-187],166.03972,142.79619,186.81200,,,
SDGAIRBODA,"Ambient and household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3793,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,MLE,Male,,,,,,,,202[ 172-230],202.27477,172.22147,230.18027,,,
SDGDISASTER,Average death rate due to natural disasters (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4665,PUBLISHED,Published,,2012-2016,2012-2016,,SEAR,South-East Asia,,IND,2012,2016,India,,,,,MLE,Male,,,,,,,,0.2,0.17661,,,,,
SDGDISASTER,Average death rate due to natural disasters (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4665,PUBLISHED,Published,,2012-2016,2012-2016,,SEAR,South-East Asia,,IND,2012,2016,India,,,,,FMLE,Female,,,,,,,,0.2,0.15990,,,,,
SDGDISASTER,Average death rate due to natural disasters (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4665,PUBLISHED,Published,,2012-2016,2012-2016,,SEAR,South-East Asia,,IND,2012,2016,India,,,,,BTSX,Both sexes,,,,,,,,0.2,0.16857,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,MLE,Male,,,,,,,,15.9,15.88761,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,FMLE,Female,,,,,,,,21.5,21.48475,,,,,
SDGWSHBOD,Mortality rate attributed to exposure to unsafe WASH services (per 100 000 population) (SDG 3.9.2),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4675,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,BTSX,Both sexes,,,,,,,,18.6,18.58389,,,,,
SDGIHR2018,"Average of 13 International Health Regulations core capacity scores, SPAR version",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5338,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,,,,,,,,,,,,,75,75.00000,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,,,,,,,,,,,,,19.93,19.93268,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2001,2001,,SEAR,South-East Asia,,IND,2001,2001,India,,,,,,,,,,,,,,19.96,19.96317,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2002,2002,,SEAR,South-East Asia,,IND,2002,2002,India,,,,,,,,,,,,,,18.5,18.50166,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,IND,2003,2003,India,,,,,,,,,,,,,,19.42,19.42097,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,IND,2004,2004,India,,,,,,,,,,,,,,21.27,21.26710,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2005,2005,,SEAR,South-East Asia,,IND,2005,2005,India,,,,,,,,,,,,,,22.69,22.68606,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,IND,2006,2006,India,,,,,,,,,,,,,,18.23,18.23175,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,IND,2007,2007,India,,,,,,,,,,,,,,17.34,17.34437,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,IND,2008,2008,India,,,,,,,,,,,,,,17.93,17.92762,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2009,2009,,SEAR,South-East Asia,,IND,2009,2009,India,,,,,,,,,,,,,,18.2,18.20275,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,IND,2010,2010,India,,,,,,,,,,,,,,17.52,17.51669,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,IND,2011,2011,India,,,,,,,,,,,,,,14.76,14.75530,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,IND,2012,2012,India,,,,,,,,,,,,,,11.85,11.85404,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2013,2013,,SEAR,South-East Asia,,IND,2013,2013,India,,,,,,,,,,,,,,9.16,9.15749,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,IND,2014,2014,India,,,,,,,,,,,,,,9.2,9.19950,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2015,2015,,SEAR,South-East Asia,,IND,2015,2015,India,,,,,,,,,,,,,,9.67,9.66968,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2016,2016,,SEAR,South-East Asia,,IND,2016,2016,India,,,,,,,,,,,,,,9.99,9.99097,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2017,2017,,SEAR,South-East Asia,,IND,2017,2017,India,,,,,,,,,,,,,,7.47,7.47287,,,,,
SDGMALARIA,Malaria incidence (per 1 000 population at risk),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4670,PUBLISHED,Published,,2018,2018,,SEAR,South-East Asia,,IND,2018,2018,India,,,,,,,,,,,,,,5.33,5.33043,,,,,
SDGTOBACCO,Prevalence of current tobacco use among persons aged 15 years and older (age-standardized rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,,,,BTSX,Both sexes,,,,,,,,48.9,48.90000,,,,,
SDGTOBACCO,Prevalence of current tobacco use among persons aged 15 years and older (age-standardized rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/5562,PUBLISHED,Published,,2000,2000,,SEAR,South-East Asia,,IND,2000,2000,India,,,,,FMLE,Female,,,,,,,,35.6,35.60000,,,,,
