GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),NATIONALSYSTEMTYPE (CODE),NATIONALSYSTEMTYPE (DISPLAY),NATIONALSYSTEMTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
TOBACCO_0000000396,Health warnings on other smoked tobacco packaging must include a photograph or graphic,,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000342,Daily users of any smokeless tobacco product (crude rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/365,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,BTSX,Both sexes,,,,,,,,...,,,,,,
TOBACCO_0000000342,Daily users of any smokeless tobacco product (crude rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/365,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,FMLE,Female,,,,,,,,...,,,,,,
TOBACCO_0000000342,Daily users of any smokeless tobacco product (crude rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/365,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,MLE,Male,,,,,,,,...,,,,,,
TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,FMLE,Female,,,,,,,,1.6,,,,,,
TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,BTSX,Both sexes,,,,,,,,3.8,,,,,,
TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,MLE,Male,,,,,,,,5.4,,,,,,
TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,BTSX,Both sexes,,,,,,,,26.6,,,,,,
TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,MLE,Male,,,,,,,,29.2,,,,,,
TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,FMLE,Female,,,,,,,,23.1,,,,,,
TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,MLE,Male,,,,,,,,43.7,,,,,,
TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,FMLE,Female,,,,,,,,35.6,,,,,,
TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,BTSX,Both sexes,,,,,,,,40.3,,,,,,
TOBACCO_0000000386,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,20,,,,,,
TOBACCO_0000000387,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,40,,,,,,
TOBACCO_0000000388,Specific health warnings are mandated for other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000389,Number of health warnings approved by the law for other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1269,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,2,,,,,,
TOBACCO_0000000390,Health warnings on other smoked tobacco packaging must be rotated,,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000391,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,0,,,,,,
TOBACCO_0000000392,Health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale,,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000393,Health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health,,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000394,"Font style, font size and colour of health warnings are mandated for other smoked tobacco packaging",,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000395,Health warnings on other smoked tobacco packaging must be written in the principal language(s) of the country,,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000396,Health warnings on other smoked tobacco packaging must include a photograph or graphic,,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000505,Year of survey of youth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/366,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,2006,,,,,,
TOBACCO_0000000506,Representativeness of youth survey,,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,National,,,,,,
TOBACCO_0000000507,Repeating interval for survey of youth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/368,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,2,,,,,,
TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,MLE,Male,,,,,,,,5.8,,,,,,
TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,MLE,Male,,,,,,,,24.1,,,,,,
TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,MLE,Male,,,,,,,,39,,,,,,
TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,FMLE,Female,,,,,,,,2.4,,,,,,
TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,FMLE,Female,,,,,,,,18.8,,,,,,
TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,FMLE,Female,,,,,,,,33.1,,,,,,
TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,BTSX,Both sexes,,,,,,,,4.4,,,,,,
TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,BTSX,Both sexes,,,,,,,,21.9,,,,,,
TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,BTSX,Both sexes,,,,,,,,36.6,,,,,,
TOBACCO_0000000505,Year of survey of youth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/366,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,2009,,,,,,
TOBACCO_0000000506,Representativeness of youth survey,,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,National,,,,,,
TOBACCO_0000000507,Repeating interval for survey of youth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/368,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,1,,,,,,
TOBACCO_0000000361,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,No,,,,,,
TOBACCO_0000000361,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,No,,,,,,
TOBACCO_0000000362,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000362,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000363,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000363,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000364,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000364,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000365,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000365,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000366,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000366,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes in some,,,,,,
TOBACCO_0000000367,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000367,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000368,Nicotine replacement therapy - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,In a general store without a prescription,,,,,,
TOBACCO_0000000368,Nicotine replacement therapy - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,In a general store without a prescription,,,,,,
TOBACCO_0000000369,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000369,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000370,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
TOBACCO_0000000370,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
TOBACCO_0000000371,Varenicline - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1256,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000371,Varenicline - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1256,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000372,Varenicline - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1257,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
TOBACCO_0000000372,Varenicline - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1257,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
TOBACCO_0000000209,Fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1324,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000209,Fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1324,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000210,Fines on the establishment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1325,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000210,Fines on the establishment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1325,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000211,Fines on the patron,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000211,Fines on the patron,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000212,Dedicated funds for enforcement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000212,Dedicated funds for enforcement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000213,Citizen complaints and investigations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1322,PUBLISHED,Published,,2008,2008,,SEAR,South-East Asia,,,2008,2008,,,IND,India,,,,,,,,,,,Yes,,,,,,
TOBACCO_0000000213,Citizen complaints and investigations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1322,PUBLISHED,Published,,2010,2010,,SEAR,South-East Asia,,,2010,2010,,,IND,India,,,,,,,,,,,Yes,,,,,,
SA_0000001410,"Abstainers (15-19 years), lifetime (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2323,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,,2003,2003,,,IND,India,,MLE,Male,,,,,,,,92.0,92.00000,,,,,
SA_0000001410,"Abstainers (15-19 years), lifetime (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2323,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,,2003,2003,,,IND,India,,FMLE,Female,,,,,,,,99.6,99.60000,,,,,
SA_0000001410,"Abstainers (15-19 years), lifetime (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2323,PUBLISHED,Published,,2003,2003,,SEAR,South-East Asia,,,2003,2003,,,IND,India,,BTSX,Both sexes,,,,,,,,95.9,95.90000,,,,,
SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,FMLE,Female,,,,,,,,55,55.00000,,,,,
SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,BTSX,Both sexes,,,,,,,,278,278.00000,,,,,
SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,MLE,Male,,,,,,,,484,484.00000,,,,,
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,BTSX,Both sexes,,,,,,,,80,80.00000,,,,,
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,FMLE,Female,,,,,,,,162,162.00000,,,,,
SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,MLE,Male,,,,,,,,1,,,,,,
SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,BTSX,Both sexes,,,,,,,,46,46.00000,,,,,
SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,MLE,Male,,,,,,,,53,53.00000,,,,,
SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,FMLE,Female,,,,,,,,38,38.00000,,,,,
SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,BTSX,Both sexes,,,,,,,,305,305.00000,,,,,
SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,MLE,Male,,,,,,,,319,319.00000,,,,,
SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,FMLE,Female,,,,,,,,291,291.00000,,,,,
SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,BTSX,Both sexes,,,,,,,,159,159.00000,,,,,
SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,MLE,Male,,,,,,,,197,197.00000,,,,,
SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,FMLE,Female,,,,,,,,119,119.00000,,,,,
SA_0000001423,"Age-standardized DALYs, falls, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,MLE,Male,,,,,,,,430,430.00000,,,,,
SA_0000001423,"Age-standardized DALYs, falls, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,BTSX,Both sexes,,,,,,,,375,375.00000,,,,,
SA_0000001423,"Age-standardized DALYs, falls, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,2004,2004,,,IND,India,,FMLE,Female,,,,,,,,315,315.00000,,,,,
